,Date,Customer Name,Item Number,Item  Description,Quantity,Unit Price
0,31-Oct-17,INNSCOR KENYA LTD,WF2073,WATER FILTER,4,"2,118.00"
2,31-Oct-17,INNSCOR KENYA LTD,LF9009,OIL FILTER COMBO SPINON,4,"8,946.00"
3,31-Oct-17,INNSCOR KENYA LTD,881949,PREMIUM BLUE -1  LITRE,100,520
6,18-Dec-17,HARAMBEE COOPERATIVE SAVINGS,WF2126,DCA4 WATER FILTER,1,"4,846.00"
9,18-Dec-17,HARAMBEE COOPERATIVE SAVINGS,881949,PREMIUM BLUE -1  LITRE,100,500
10,18-Dec-17,TARIKIVILLE LIMITED,AF26094,AIR FILTER-PRIMARY,1,"8,318.00"
11,18-Dec-17,TARIKIVILLE LIMITED,AF26093,AIR FILTER,1,"2,255.05"
13,18-Dec-17,TARIKIVILLE LIMITED,881949,PREMIUM BLUE -1  LITRE,15,442
14,18-Dec-17,TARIKIVILLE LIMITED,LF16061,LUBE FILTER,1,"3,240.20"
15,18-Dec-17,TWIGA STATIONERS & PRINTERS,881949,PREMIUM BLUE -1  LITRE,100,500
18,18-Dec-17,TWIGA STATIONERS & PRINTERS,WF2126,DCA4 WATER FILTER,1,"4,580.00"
19,18-Dec-17,BAYER EAST AFRICA LTD,881949,PREMIUM BLUE -1  LITRE,30,468
20,18-Dec-17,BAYER EAST AFRICA LTD,FF5580,FUEL FILTER SPINON,1,"2,680.20"
21,18-Dec-17,BAYER EAST AFRICA LTD,FS19732,FUEL SEPARATOR,1,"6,565.50"
22,18-Dec-17,BAYER EAST AFRICA LTD,WF2074,WATER FILTER,1,"2,131.20"
23,18-Dec-17,BAYER EAST AFRICA LTD,LF9009,OIL FILTER COMBO SPINON,1,"8,051.40"
25,18-Dec-17,FIDELITY SHIELD INSURANCE CO. LTD,881949,PREMIUM BLUE -1  LITRE,100,500
26,18-Dec-17,FIDELITY SHIELD INSURANCE CO. LTD,WF2126,DCA4 WATER FILTER,1,"3,690.00"
28,18-Dec-17,UNIVERSITY OF NAIROBI LOWER KABETE,WF2126,DCA4 WATER FILTER,1,"4,100.00"
30,18-Dec-17,UNIVERSITY OF NAIROBI LOWER KABETE,881949,PREMIUM BLUE -1  LITRE,100,500
32,18-Dec-17,TOYOTA  KENYA LIMITED,AF25910,AIR FILTER-PRIMARY,4,"7,734.00"
33,18-Dec-17,TOYOTA  KENYA LIMITED,AF25911,AIR FILTER,4,"6,621.00"
34,18-Dec-17,TOYOTA  KENYA LIMITED,LF3959,OIL FILTER CELLULOSE SPIN,4,"1,382.43"
38,18-Dec-17,TOYOTA  KENYA LIMITED,881949,PREMIUM BLUE -1  LITRE,60,500
39,1-Nov-17,KENYA SCHOOL OF GOVERNMENT,881949,PREMIUM BLUE -1  LITRE,100,520
40,1-Nov-17,KENYA SCHOOL OF GOVERNMENT,AF25708,AIR FILTER-RADIAL SEAL PRIMARY,1,"13,700.00"
42,1-Nov-17,KENYA SCHOOL OF GOVERNMENT,WF2126,DCA4 WATER FILTER,1,"6,500.00"
44,30-Jan-20,PARAMOUNT PLAZA,LF16015,LUBE FILTER,1,"3,376.00"
45,30-Jan-20,PARAMOUNT PLAZA,FF5485,FUEL FILTER,2,"5,342.00"
46,30-Jan-20,PARAMOUNT PLAZA,AH19037,AIR FILTER HOUSING,1,"14,123.00"
47,30-Jan-20,PARAMOUNT PLAZA,881949,PREMIUM BLUE,20,520
4453,5-Oct-20,CUMMINS C&G LIMITED  - AFTERMARKET(KSH),881949,PREMIUM BLUE,5,351.18
4789,2-Oct-17,CASH SALES - CUMMINS,AF25904,AIR FILTER-PRIMARY,15,"3,000.00"
4791,2-Oct-17,CASH SALES - CUMMINS,AF25878,AIR FILTER-SECONDARY,3,"5,816.00"
4797,3-Oct-17,CASH SALES - CUMMINS,881949,PREMIUM BLUE -1  LITRE,10,520
4800,3-Oct-17,CASH SALES - CUMMINS,LF16061,OIL FILTER COMBO SPINON,1,"2,647.00"
4801,3-Oct-17,CASH SALES - CUMMINS,FF5524,FUEL FILTER,2,560.74
4802,3-Oct-17,CASH SALES - CUMMINS,LF16087,OIL FILTER CELLULOSE SPIN,1,"1,200.00"
4805,3-Oct-17,MATER HOSPITAL,AF25904,AIR FILTER-PRIMARY,1,"9,200.00"
4806,3-Oct-17,MATER HOSPITAL,LF16061,OIL FILTER,1,"4,500.00"
4807,3-Oct-17,MATER HOSPITAL,881949,PREMIUM BLUE -1  LITRE,10,520
4809,3-Oct-17,MATER HOSPITAL,FF5524,FUEL FILTER,2,"1,100.00"
4810,3-Oct-17,MATER HOSPITAL,WF2126,DCA4 WATER FILTER,1,"5,089.00"
4813,3-Oct-17,MATER HOSPITAL,AF26173,AIR FILTER,1,"17,895.00"
4814,3-Oct-17,MATER HOSPITAL,881949,PREMIUM BLUE -1  LITRE,100,520
4815,4-Oct-17,CASH SALES - CUMMINS,AF25904,AIR FILTER-PRIMARY,1,"8,635.00"
4816,4-Oct-17,CASH SALES - CUMMINS,881949,PREMIUM BLUE -1  LITRE,10,520
4819,4-Oct-17,CASH SALES - CUMMINS,LF16087,LUBE FILTER,1,"2,300.00"
4820,4-Oct-17,CASH SALES - CUMMINS,FS1280,FUEL SEPARATOR,24,"1,100.00"
4821,4-Oct-17,CASH SALES - CUMMINS,LF16087,OIL FILTER CELLULOSE SPIN,24,900
4826,4-Oct-17,CASH SALES - CUMMINS,FS1006,FUEL SEPARATOR,4,"4,500.00"
4828,4-Oct-17,CASH SALES - CUMMINS,AH1100,AIR HOUSING-STANDARD,3,"16,000.00"
4829,4-Oct-17,CASH SALES - CUMMINS,AF26173,Air Filter,1,"13,627.18"
4830,4-Oct-17,C&G ENGINEERING,881949,PREMIUM BLUE -1  LITRE,30,338
4831,5-Oct-17,SERVICE CONTRACT DELIVERIES,881949,PREMIUM BLUE -1  LITRE,10,442
4832,5-Oct-17,SERVICE CONTRACT DELIVERIES,LF3338,OIL FILTER,1,880.6
4834,5-Oct-17,SERVICE CONTRACT DELIVERIES,AF435KM,AIR FILTER,1,"3,177.01"
4836,5-Oct-17,SERVICE CONTRACT DELIVERIES,LF16087,OIL FILTER CELLULOSE SPIN,1,"1,961.80"
4837,5-Oct-17,SERVICE CONTRACT DELIVERIES,881949,PREMIUM BLUE -1  LITRE,10,442
4838,5-Oct-17,SERVICE CONTRACT DELIVERIES,AF25904,AIR FILTER-PRIMARY,1,"6,990.40"
4839,5-Oct-17,C&G ENGINEERING,881949,PREMIUM BLUE -1  LITRE,40,281.43
4841,5-Oct-17,MATER HOSPITAL,AF26187,AIR FILTER,1,"9,200.00"
4842,5-Oct-17,ALPHA GRAIN MILLERS LTD,881949,PREMIUM BLUE -1  LITRE,40,442
4843,5-Oct-17,ALPHA GRAIN MILLERS LTD,LF9009,OIL FILTER COMBO SPINON,1,"5,781.36"
4845,5-Oct-17,ALPHA GRAIN MILLERS LTD,WF2076,DCA4 WATER FILTER,1,"3,278.45"
4846,5-Oct-17,ALPHA GRAIN MILLERS LTD,FS1000,FUEL/WATER SEPARATOR,2,"2,712.18"
4848,5-Oct-17,ALPHA GRAIN MILLERS LTD,LF670,OIL FILTER CELLULOSE SPIN,3,"2,351.44"
4849,5-Oct-17,ALPHA GRAIN MILLERS LTD,AH1100,AIR HOUSING-STANDARD,2,"18,639.14"
4850,5-Oct-17,ALPHA GRAIN MILLERS LTD,FS1006,FUEL SEPARATOR,2,"6,554.86"
4851,5-Oct-17,ALPHA GRAIN MILLERS LTD,WF2076,DCA4 WATER FILTER,2,"3,122.73"
4852,5-Oct-17,ALPHA GRAIN MILLERS LTD,LF777,OIL FILTER CELLULOSE SPIN,1,"2,939.30"
4853,5-Oct-17,ALPHA GRAIN MILLERS LTD,881949,PREMIUM BLUE -1  LITRE,100,442
4855,5-Oct-17,SERVICE CONTRACT DELIVERIES,LF700,LUBE FILTER,1,995.4
4856,5-Oct-17,SERVICE CONTRACT DELIVERIES,881949,PREMIUM BLUE -1  LITRE,10,468
4858,5-Oct-17,SERVICE CONTRACT DELIVERIES,FS1280,FUEL SEPARATOR,1,"2,363.40"
4860,5-Oct-17,CUMMINS C&G LIMITED,FF105,FUEL FILTER,2,521
4861,5-Oct-17,R.K.SANGHANI,LF3349,LUBE FILTER,1,750
4863,5-Oct-17,R.K.SANGHANI,FF5167,FUEL FILTER,1,650
4864,5-Oct-17,R.K.SANGHANI,FS1280,FUEL SEPARATOR SPINON STR,1,950
4865,5-Oct-17,SERVICE CONTRACT DELIVERIES,881949,PREMIUM BLUE -1  LITRE,15,442
4866,5-Oct-17,SERVICE CONTRACT DELIVERIES,LF16061,LUBE FILTER,1,"2,736.15"
4868,5-Oct-17,SERVICE CONTRACT DELIVERIES,AF26093,AIR FILTER,1,"1,960.95"
4869,5-Oct-17,SERVICE CONTRACT DELIVERIES,AF26094,AIR FILTER-PRIMARY,1,"8,318.10"
4871,5-Oct-17,SERVICE CONTRACT DELIVERIES,LF700,LUBE FILTER,1,"1,961.80"
4872,5-Oct-17,SERVICE CONTRACT DELIVERIES,881949,PREMIUM BLUE -1  LITRE,10,442
4873,5-Oct-17,SERVICE CONTRACT DELIVERIES,AF25904,AIR FILTER-PRIMARY,1,"6,990.40"
4876,5-Oct-17,NATION MEDIA GROUP LTD,881949,PREMIUM BLUE -1  LITRE,100,468
4878,5-Oct-17,NATION MEDIA GROUP LTD,WF2126,DCA4 WATER FILTER,1,"4,580.10"
4879,5-Oct-17,NATION MEDIA GROUP LTD,AF25708,AIR FILTER-RADIAL SEAL PR,1,"16,105.50"
4880,6-Oct-17,FAIRMONT THE NORFORK,881949,PREMIUM BLUE -1  LITRE,100,483.6
4884,6-Oct-17,FAIRMONT THE NORFORK,WF2126,DCA4 WATER FILTER,1,"4,732.77"
4885,6-Oct-17,CASH SALES - CUMMINS,FF202,FUEL FILTER,2,"2,009.00"
4886,6-Oct-17,CASH SALES - CUMMINS,LF777,OIL FILTER CELLULOSE SPIN,1,"1,773.00"
4887,6-Oct-17,CASH SALES - CUMMINS,WF2076,DCA4 WATER FILTER,3,"1,634.00"
4888,6-Oct-17,CASH SALES - CUMMINS,LF700,OIL FILTER CELLULOSE SPIN,1,800
4889,6-Oct-17,CASH SALES - CUMMINS,LF670,OIL FILTER CELLULOSE SPIN,3,"1,551.00"
4890,6-Oct-17,CASH SALES - CUMMINS,LF3000,LUBE FILTER,1,"4,221.00"
4891,6-Oct-17,CASH SALES - CUMMINS,FS1212,FUEL WATER SEP,1,997
4892,6-Oct-17,CASH SALES - CUMMINS,FF5135,FUEL FILTER SPINON,2,950
4893,6-Oct-17,CASH SALES - CUMMINS,AF25904,AIR FILTER-PRIMARY,1,"3,500.00"
4894,6-Oct-17,CASH SALES - CUMMINS,AF928M,AIR CLEANER,1,"8,281.00"
4896,6-Oct-17,SERVICE CONTRACT DELIVERIES,LF3970,LUBE FILTER,1,"2,213.00"
4898,6-Oct-17,SERVICE CONTRACT DELIVERIES,FF5485,FUEL FILTER,1,"2,198.50"
4899,6-Oct-17,SERVICE CONTRACT DELIVERIES,881949,PREMIUM BLUE -1  LITRE,25,442
4901,6-Oct-17,CASH SALES - CUMMINS,LF16087,OIL FILTER CELLULOSE SPIN,4,"1,200.00"
4902,6-Oct-17,CASH SALES - CUMMINS,FF5167,FUEL FILTER,1,600
4906,6-Oct-17,MEDIAMAX NETWORK LTD,WF2076,DCA4 WATER FILTER,1,"3,664.15"
4907,6-Oct-17,MEDIAMAX NETWORK LTD,LF9009,OIL FILTER COMBO SPINON,1,"8,498.70"
4909,6-Oct-17,MEDIAMAX NETWORK LTD,FS1000,FUEL/WATER SEPARATOR,2,"2,500.40"
4910,6-Oct-17,MEDIAMAX NETWORK LTD,881949,PREMIUM BLUE -1  LITRE,40,494
4912,6-Oct-17,TIMESALES LTD,LF3349,LUBE FILTER,2,690
